*******************************************
Thu May 12 15:44:13 KST 2022 - configure
Remote execution: stdout/stderr will not be logged
2022-05-12 15:44:13,930 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_IDENTIFIER
2022-05-12 15:44:13,934 | ini_setup | INFO     | [worker]local_storage=/var/opt/ericsson/encoding-live-worker/conf
2022-05-12 15:44:13,934 | ini_setup | INFO     | [worker]options=-file {configPath} -serverId {serverId} -serviceId {serviceId} -settings /opt/ericsson/encoding-live-worker/etc/liveTranscoder.json
2022-05-12 15:44:13,934 | ini_setup | INFO     | [worker]pass_env=yes
2022-05-12 15:44:13,935 | ini_setup | INFO     | [worker]starting_timeout=20
2022-05-12 15:44:13,935 | ini_setup | INFO     | return code 0
2022-05-12 15:44:13,935 | ini_setup | INFO     | ---
*******************************************
Thu May 12 15:52:59 KST 2022 - configure
Remote execution: stdout/stderr will not be logged
2022-05-12 15:52:59,696 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_IDENTIFIER
2022-05-12 15:52:59,696 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_IDENTIFIER instead...
2022-05-12 15:52:59,696 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_MODE
2022-05-12 15:52:59,696 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_MODE instead...
2022-05-12 15:52:59,696 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_RESTART_MODE
2022-05-12 15:52:59,696 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_RESTART_MODE instead...
2022-05-12 15:52:59,696 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_GATEWAY
2022-05-12 15:52:59,696 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_GATEWAY instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_TIMEOUT
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_TIMEOUT instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVICE_API_GATEWAY
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVICE_API_GATEWAY instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVICE_API_TIMEOUT
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVICE_API_TIMEOUT instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_BINARY
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_BINARY instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_OPTIONS
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_OPTIONS instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_LOCAL_STORAGE
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_LOCAL_STORAGE instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_PASS_ENV
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_PASS_ENV instead...
2022-05-12 15:52:59,697 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_STARTING_TIMEOUT
2022-05-12 15:52:59,697 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_STARTING_TIMEOUT instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_GRACEFUL_TIME
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_GRACEFUL_TIME instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_BINARY
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_BINARY instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_INJECTOR
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_INJECTOR instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_TRIGGER
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_TRIGGER instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_OPTIONS
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_OPTIONS instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_CHANNEL
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_CHANNEL instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_URL
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_URL instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_HOST
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_HOST instead...
2022-05-12 15:52:59,698 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_PORT
2022-05-12 15:52:59,698 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_PORT instead...
2022-05-12 15:52:59,699 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_MESSAGING_SERVER_URL
2022-05-12 15:52:59,699 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_MESSAGING_SERVER_URL instead...
2022-05-12 15:52:59,699 | ini_setup | INFO     | configure /opt/ericsson/encoding-live-worker/etc/encoding-live-worker.ini from /opt/ericsson/encoding-live-worker/etc/encoding-live-worker.ini.template
2022-05-12 15:52:59,699 | ini_setup | INFO     | [alarm]channel=alarms/liveencoder/{serviceId}/{serverId}
2022-05-12 15:52:59,699 | ini_setup | INFO     | [alarm]host=127.0.0.1
2022-05-12 15:52:59,699 | ini_setup | INFO     | [alarm]port=6380
2022-05-12 15:52:59,699 | ini_setup | INFO     | [alarm]url=redis://127.0.0.1:6380
2022-05-12 15:52:59,699 | ini_setup | INFO     | [config_api]gateway=http://192.168.21.52:8080
2022-05-12 15:52:59,699 | ini_setup | INFO     | [config_api]timeout=30
2022-05-12 15:52:59,699 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@192.168.21.52:5672/?heartbeat=30
2022-05-12 15:52:59,699 | ini_setup | INFO     | [scheduler]binary=/opt/ericsson/automation-scheduler/bin/automation-scheduler
2022-05-12 15:52:59,699 | ini_setup | INFO     | [scheduler]injector={"type": "scte104", "unixSocketPath": "/var/lib/ericsson/encoding-live-worker/{serviceId}_automationSystem"}
2022-05-12 15:52:59,699 | ini_setup | INFO     | [scheduler]options=--service-id={serviceId} --injector={injector} --trigger={trigger} --config-file=/opt/ericsson/automation-scheduler/etc/config.json
2022-05-12 15:52:59,699 | ini_setup | INFO     | [scheduler]trigger={"type": "none"}
2022-05-12 15:52:59,700 | ini_setup | INFO     | [server]identifier=standalone
2022-05-12 15:52:59,700 | ini_setup | INFO     | [server]mode=normal
2022-05-12 15:52:59,700 | ini_setup | INFO     | [server]restart_mode=signalHup
2022-05-12 15:52:59,700 | ini_setup | INFO     | [service_api]gateway=http://192.168.21.52:8080
2022-05-12 15:52:59,700 | ini_setup | INFO     | [service_api]timeout=30
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]binary=/opt/ericsson/encoding-live-worker/bin/liveTranscoder
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]graceful_time=10
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]local_storage=/var/opt/ericsson/encoding-live-worker/conf
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]options=-file {configPath} -serverId {serverId} -serviceId {serviceId} -settings /opt/ericsson/encoding-live-worker/etc/liveTranscoder.json
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]pass_env=yes
2022-05-12 15:52:59,700 | ini_setup | INFO     | [worker]starting_timeout=20
2022-05-12 15:52:59,700 | ini_setup | INFO     | return code 0
2022-05-12 15:52:59,700 | ini_setup | INFO     | ---
*******************************************
Thu May 12 16:08:58 KST 2022 - configure
Remote execution: stdout/stderr will not be logged
2022-05-12 16:08:58,653 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_IDENTIFIER
2022-05-12 16:08:58,653 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_IDENTIFIER instead...
2022-05-12 16:08:58,653 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_MODE
2022-05-12 16:08:58,653 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_MODE instead...
2022-05-12 16:08:58,653 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_RESTART_MODE
2022-05-12 16:08:58,653 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_RESTART_MODE instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_GATEWAY
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_GATEWAY instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_TIMEOUT
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_TIMEOUT instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVICE_API_GATEWAY
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVICE_API_GATEWAY instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVICE_API_TIMEOUT
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVICE_API_TIMEOUT instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_BINARY
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_BINARY instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_OPTIONS
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_OPTIONS instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_LOCAL_STORAGE
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_LOCAL_STORAGE instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_PASS_ENV
2022-05-12 16:08:58,654 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_PASS_ENV instead...
2022-05-12 16:08:58,654 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_STARTING_TIMEOUT
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_STARTING_TIMEOUT instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_WORKER_GRACEFUL_TIME
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_WORKER_GRACEFUL_TIME instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_BINARY
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_BINARY instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_INJECTOR
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_INJECTOR instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_TRIGGER
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_TRIGGER instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SCHEDULER_OPTIONS
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SCHEDULER_OPTIONS instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_CHANNEL
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_CHANNEL instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_URL
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_URL instead...
2022-05-12 16:08:58,655 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_HOST
2022-05-12 16:08:58,655 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_HOST instead...
2022-05-12 16:08:58,656 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_ALARM_PORT
2022-05-12 16:08:58,656 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_ALARM_PORT instead...
2022-05-12 16:08:58,656 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_MESSAGING_SERVER_URL
2022-05-12 16:08:58,656 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_MESSAGING_SERVER_URL instead...
2022-05-12 16:08:58,656 | ini_setup | INFO     | configure /opt/ericsson/encoding-live-worker/etc/encoding-live-worker.ini from /opt/ericsson/encoding-live-worker/etc/encoding-live-worker.ini.template
2022-05-12 16:08:58,656 | ini_setup | INFO     | [alarm]channel=alarms/liveencoder/{serviceId}/{serverId}
2022-05-12 16:08:58,656 | ini_setup | INFO     | [alarm]host=127.0.0.1
2022-05-12 16:08:58,656 | ini_setup | INFO     | [alarm]port=6380
2022-05-12 16:08:58,656 | ini_setup | INFO     | [alarm]url=redis://127.0.0.1:6380
2022-05-12 16:08:58,656 | ini_setup | INFO     | [config_api]gateway=http://192.168.21.52:8080
2022-05-12 16:08:58,656 | ini_setup | INFO     | [config_api]timeout=30
2022-05-12 16:08:58,656 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@192.168.21.52:5672/?heartbeat=30
2022-05-12 16:08:58,656 | ini_setup | INFO     | [scheduler]binary=/opt/ericsson/automation-scheduler/bin/automation-scheduler
2022-05-12 16:08:58,656 | ini_setup | INFO     | [scheduler]injector={"type": "scte104", "unixSocketPath": "/var/lib/ericsson/encoding-live-worker/{serviceId}_automationSystem"}
2022-05-12 16:08:58,656 | ini_setup | INFO     | [scheduler]options=--service-id={serviceId} --injector={injector} --trigger={trigger} --config-file=/opt/ericsson/automation-scheduler/etc/config.json
2022-05-12 16:08:58,657 | ini_setup | INFO     | [scheduler]trigger={"type": "none"}
2022-05-12 16:08:58,657 | ini_setup | INFO     | [server]identifier=standalone
2022-05-12 16:08:58,657 | ini_setup | INFO     | [server]mode=normal
2022-05-12 16:08:58,657 | ini_setup | INFO     | [server]restart_mode=signalHup
2022-05-12 16:08:58,657 | ini_setup | INFO     | [service_api]gateway=http://192.168.21.52:8080
2022-05-12 16:08:58,657 | ini_setup | INFO     | [service_api]timeout=30
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]binary=/opt/ericsson/encoding-live-worker/bin/liveTranscoder
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]graceful_time=10
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]local_storage=/var/opt/ericsson/encoding-live-worker/conf
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]options=-file {configPath} -serverId {serverId} -serviceId {serviceId} -settings /opt/ericsson/encoding-live-worker/etc/liveTranscoder.json
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]pass_env=yes
2022-05-12 16:08:58,657 | ini_setup | INFO     | [worker]starting_timeout=20
2022-05-12 16:08:58,657 | ini_setup | INFO     | return code 0
2022-05-12 16:08:58,657 | ini_setup | INFO     | ---
*******************************************
Tue Jul 12 19:42:46 KST 2022 - configure
Remote execution: stdout/stderr will not be logged
2022-07-12 19:42:46,660 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_IDENTIFIER
2022-07-12 19:42:46,660 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_IDENTIFIER instead...
2022-07-12 19:42:46,660 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_MODE
2022-07-12 19:42:46,660 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_MODE instead...
2022-07-12 19:42:46,661 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVER_RESTART_MODE
2022-07-12 19:42:46,661 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVER_RESTART_MODE instead...
2022-07-12 19:42:46,661 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_GATEWAY
2022-07-12 19:42:46,661 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_GATEWAY instead...
2022-07-12 19:42:46,661 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_CONFIG_API_TIMEOUT
2022-07-12 19:42:46,661 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_CONFIG_API_TIMEOUT instead...
2022-07-12 19:42:46,661 | ini_setup | WARNING  | Invalid name for ENV VARS : ENCODING-LIVE-WORKER_SERVICE_API_GATEWAY
2022-07-12 19:42:46,661 | ini_setup | WARNING  | we will search for ENCODING_LIVE_WORKER_SERVICE_API_GATEWAY instead...
