2022-05-12 15:30:48,047 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-07-12 19:36:57,758 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:57,758 | ini_setup | INFO     | return code 0
2022-07-12 19:36:57,758 | ini_setup | INFO     | ---
2023-08-08 00:32:16,307 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2023-08-08 00:32:16,308 | ini_setup | INFO     | [messaging]backoff=5
2023-08-08 00:32:16,308 | ini_setup | INFO     | [messaging]timeout=10
2023-08-08 00:32:16,308 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2023-08-08 00:32:16,308 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:32:16,308 | ini_setup | INFO     | [server]port=8014
2023-08-08 00:32:16,308 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2023-08-08 00:32:16,308 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2023-08-08 00:32:16,308 | ini_setup | INFO     | [sidecar]push=False
2023-08-08 00:32:16,308 | ini_setup | INFO     | [sidecar]update_interval=60
2023-08-08 00:32:16,309 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:32:16,309 | ini_setup | INFO     | return code 0
2023-08-08 00:32:16,309 | ini_setup | INFO     | ---
