2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-05-12 15:30:47,925 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2022-05-12 15:30:47,925 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2022-05-12 15:30:47,925 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2022-05-12 15:30:47,925 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 15:30:47,925 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:47,925 | ini_setup | INFO     | [server]port=8008
2022-05-12 15:30:47,925 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2022-05-12 15:30:47,925 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2022-05-12 15:30:47,925 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2022-05-12 15:30:47,925 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:47,926 | ini_setup | INFO     | return code 0
2022-05-12 15:30:47,926 | ini_setup | INFO     | ---
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2022-05-12 16:04:55,526 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2022-05-12 16:04:55,526 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2022-05-12 16:04:55,527 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2022-05-12 16:04:55,527 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2022-05-12 16:04:55,527 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2022-05-12 16:04:55,527 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2022-05-12 16:04:55,527 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 16:04:55,527 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 16:04:55,527 | ini_setup | INFO     | [server]port=8008
2022-05-12 16:04:55,527 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2022-05-12 16:04:55,527 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2022-05-12 16:04:55,527 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2022-05-12 16:04:55,527 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:55,527 | ini_setup | INFO     | return code 0
2022-05-12 16:04:55,528 | ini_setup | INFO     | ---
2022-05-13 11:41:16,438 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2022-05-13 11:41:16,438 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2022-05-13 11:41:16,439 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2022-05-13 11:41:16,439 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2022-05-13 11:41:16,440 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2022-05-13 11:41:16,440 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-13 11:41:16,440 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:16,440 | ini_setup | INFO     | [server]port=8008
2022-05-13 11:41:16,440 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2022-05-13 11:41:16,440 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2022-05-13 11:41:16,440 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2022-05-13 11:41:16,440 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:16,440 | ini_setup | INFO     | return code 0
2022-05-13 11:41:16,440 | ini_setup | INFO     | ---
2022-07-12 18:57:38,505 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2022-07-12 18:57:38,505 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2022-07-12 18:57:38,505 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-07-12 18:57:38,505 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2022-07-12 18:57:38,505 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2022-07-12 18:57:38,505 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2022-07-12 18:57:38,505 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2022-07-12 18:57:38,505 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2022-07-12 18:57:38,505 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2022-07-12 18:57:38,506 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2022-07-12 18:57:38,506 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2022-07-12 18:57:38,506 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2022-07-12 18:57:38,506 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2022-07-12 18:57:38,506 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2022-07-12 18:57:38,506 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2022-07-12 18:57:38,506 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2022-07-12 18:57:38,506 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2022-07-12 18:57:38,506 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2022-07-12 18:57:38,506 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2022-07-12 18:57:38,506 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-07-12 18:57:38,507 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:38,507 | ini_setup | INFO     | [server]port=8008
2022-07-12 18:57:38,507 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2022-07-12 18:57:38,507 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2022-07-12 18:57:38,507 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2022-07-12 18:57:38,507 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:38,507 | ini_setup | INFO     | return code 0
2022-07-12 18:57:38,507 | ini_setup | INFO     | ---
2022-07-12 19:36:57,606 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2022-07-12 19:36:57,606 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2022-07-12 19:36:57,607 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2022-07-12 19:36:57,607 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2022-07-12 19:36:57,608 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2022-07-12 19:36:57,608 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-07-12 19:36:57,608 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 19:36:57,608 | ini_setup | INFO     | [server]port=8008
2022-07-12 19:36:57,608 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2022-07-12 19:36:57,608 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2022-07-12 19:36:57,608 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2022-07-12 19:36:57,608 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:57,608 | ini_setup | INFO     | return code 0
2022-07-12 19:36:57,608 | ini_setup | INFO     | ---
2023-08-08 00:27:14,699 | ini_setup | INFO     | found /opt/ericsson/snmp-notification/etc/snmp-notification.ini.rpmsave file!
2023-08-08 00:27:14,700 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2023-08-08 00:27:14,700 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2023-08-08 00:27:14,700 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2023-08-08 00:27:14,700 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2023-08-08 00:27:14,700 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2023-08-08 00:27:14,700 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2023-08-08 00:27:14,700 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_TIMEOUT
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_TIMEOUT instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_SERVER_URL
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_SERVER_URL instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_FLOW_URL
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_FLOW_URL instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2023-08-08 00:27:14,701 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2023-08-08 00:27:14,701 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2023-08-08 00:27:14,702 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2023-08-08 00:27:14,702 | ini_setup | INFO     | [api]flow_url=http://localhost:8013/api/flow
2023-08-08 00:27:14,702 | ini_setup | INFO     | [api]server_url=http://localhost:8001/api/servers
2023-08-08 00:27:14,702 | ini_setup | INFO     | [api]timeout=5
2023-08-08 00:27:14,702 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2023-08-08 00:27:14,702 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:27:14,702 | ini_setup | INFO     | [server]port=8008
2023-08-08 00:27:14,702 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2023-08-08 00:27:14,702 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2023-08-08 00:27:14,702 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2023-08-08 00:27:14,702 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:27:14,702 | ini_setup | INFO     | return code 0
2023-08-08 00:27:14,702 | ini_setup | INFO     | ---
2023-08-08 00:32:16,081 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_FLOW_URL
2023-08-08 00:32:16,081 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_FLOW_URL instead...
2023-08-08 00:32:16,081 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_SERVER_URL
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_SERVER_URL instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_API_TIMEOUT
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_API_TIMEOUT instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_ENGINE_ID_ADMINISTRATIVE_TEXT instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2023-08-08 00:32:16,082 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2023-08-08 00:32:16,082 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2023-08-08 00:32:16,083 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2023-08-08 00:32:16,083 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2023-08-08 00:32:16,083 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2023-08-08 00:32:16,083 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2023-08-08 00:32:16,083 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2023-08-08 00:32:16,083 | ini_setup | INFO     | configure /opt/ericsson/snmp-notification/etc/snmp-notification.ini from /opt/ericsson/snmp-notification/etc/snmp-notification.ini
2023-08-08 00:32:16,083 | ini_setup | INFO     | [api]flow_url=http://localhost:8013/api/flow
2023-08-08 00:32:16,083 | ini_setup | INFO     | [api]server_url=http://localhost:8001/api/servers
2023-08-08 00:32:16,083 | ini_setup | INFO     | [api]timeout=5
2023-08-08 00:32:16,083 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2023-08-08 00:32:16,083 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:32:16,083 | ini_setup | INFO     | [server]port=8008
2023-08-08 00:32:16,084 | ini_setup | INFO     | [snmp]compiled_mib_folder=/opt/ericsson/snmp-notification/etc/compiled_snmp_mibs
2023-08-08 00:32:16,084 | ini_setup | INFO     | [snmp]engine_id_administrative_text=MFMmS
2023-08-08 00:32:16,084 | ini_setup | INFO     | [snmp]raw_mib_folder=/opt/ericsson/snmp-notification/etc
2023-08-08 00:32:16,084 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:32:16,084 | ini_setup | INFO     | return code 0
2023-08-08 00:32:16,084 | ini_setup | INFO     | ---
