2022-05-12 15:30:38,804 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]servers_page=True
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]service_import=True
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]templates=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]user_management=True
2022-05-12 15:30:38,806 | ini_setup | INFO     | [general]failover_job_timeout_minutes=5
2022-05-12 15:30:38,806 | ini_setup | INFO     | [general]history_cleanup_depth=7
2022-05-12 15:30:38,806 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]bind_dn=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]bind_pwd=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]ca_certificate_file=/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]cipher_suite=kEECDH+aECDSA+AES:kEECDH+AES+aRSA:kEDH+aRSA+AES:-SSLv2:-SSLv3:-TLSv1:-TLSv1.1
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]default_group=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]firstname_field=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]group_search=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]group_type=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]lastname_field=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]required_group=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]search_dn=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]server_uri=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]start_tls=False
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap]username_field=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap_group_mappings]group_separator=>>>
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap_group_mappings]map1=Admin>>>Admin
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap_group_mappings]map2=Configuration>>>Configuration
2022-05-12 15:30:38,806 | ini_setup | INFO     | [ldap_group_mappings]map3=Monitoring>>>Monitoring
2022-05-12 15:30:38,806 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 15:30:38,806 | ini_setup | INFO     | [redundancy]https_port=8443
2022-05-12 15:30:38,806 | ini_setup | INFO     | [redundancy]ip_controller_1=192.168.21.52
2022-05-12 15:30:38,806 | ini_setup | INFO     | [redundancy]ip_controller_2=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [redundancy]vip=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [redundancy]viplicensing=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [security]private_key=/etc/pki/authentication/private/authentication.key
2022-05-12 15:30:38,806 | ini_setup | INFO     | [security]public_cert=
2022-05-12 15:30:38,806 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:38,806 | ini_setup | INFO     | [storage_lock]url=mongodb://127.0.0.1:27017/mediakindMongolock
2022-05-12 15:30:38,807 | ini_setup | INFO     | return code 0
2022-05-12 15:30:38,807 | ini_setup | INFO     | ---
2022-05-12 15:42:01,518 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]copy_name=envivioClusterCopy
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]directory=/var/opt/ericsson/unified-ui/dumps
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]excludes=module,job,django_session,server_info,server_status,notification_message_count
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]host=127.0.0.1
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]max_db_backups=30
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]name=envivioCluster
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]port=27017
2022-05-12 15:42:01,518 | ini_setup | INFO     | [backup]timeout=50
2022-05-12 15:42:01,518 | ini_setup | INFO     | [celery]worker_concurrency=2
2022-05-12 15:42:01,518 | ini_setup | INFO     | [comms]interface_discovery_addr=127.0.0.1
2022-05-12 15:42:01,518 | ini_setup | INFO     | [comms]interface_discovery_port=8200
2022-05-12 15:42:01,518 | ini_setup | INFO     | [comms]timeout=10
2022-05-12 15:42:01,518 | ini_setup | INFO     | [demo]dynamic_tag=dynamic
2022-05-12 15:42:01,518 | ini_setup | INFO     | [demo]enabled=False
2022-05-12 15:42:01,518 | ini_setup | INFO     | [demo]launch_control_addr=localhost
2022-05-12 15:42:01,518 | ini_setup | INFO     | [demo]launch_control_port=8011
2022-05-12 15:42:01,518 | ini_setup | INFO     | [demo]mdt_cluster_url=cluster_url
2022-05-12 15:42:01,519 | ini_setup | INFO     | [demo]mdt_embedded=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [demo]mdt_profile_url=mdt-url
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]alarm_sounds=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]applications_page=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]automation=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]backup_restore=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]clusters_page=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]external_links=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]failover=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]mass_configuration=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]router_configuration=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]servers_page=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]service_import=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]templates=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [features]user_management=True
2022-05-12 15:42:01,519 | ini_setup | INFO     | [general]failover_job_timeout_minutes=5
2022-05-12 15:42:01,519 | ini_setup | INFO     | [general]history_cleanup_depth=7
2022-05-12 15:42:01,519 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]bind_dn=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]bind_pwd=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]ca_certificate_file=/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]cipher_suite=kEECDH+aECDSA+AES:kEECDH+AES+aRSA:kEDH+aRSA+AES:-SSLv2:-SSLv3:-TLSv1:-TLSv1.1
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]default_group=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]firstname_field=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]group_search=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]group_type=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]lastname_field=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]required_group=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]search_dn=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]server_uri=
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]start_tls=False
2022-05-12 15:42:01,519 | ini_setup | INFO     | [ldap]username_field=
2022-05-12 15:42:01,520 | ini_setup | INFO     | [ldap_group_mappings]group_separator=>>>
2022-05-12 15:42:01,520 | ini_setup | INFO     | [ldap_group_mappings]map1=Admin>>>Admin
2022-05-12 15:42:01,520 | ini_setup | INFO     | [ldap_group_mappings]map2=Configuration>>>Configuration
2022-05-12 15:42:01,520 | ini_setup | INFO     | [ldap_group_mappings]map3=Monitoring>>>Monitoring
2022-05-12 15:42:01,520 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 15:42:01,520 | ini_setup | INFO     | [redundancy]https_port=8443
2022-05-12 15:42:01,520 | ini_setup | INFO     | [redundancy]ip_controller_1=192.168.21.52
2022-05-12 15:42:01,520 | ini_setup | INFO     | [redundancy]ip_controller_2=
2022-05-12 15:42:01,520 | ini_setup | INFO     | [redundancy]vip=
2022-05-12 15:42:01,520 | ini_setup | INFO     | [redundancy]viplicensing=
2022-05-12 15:42:01,520 | ini_setup | INFO     | [security]private_key=/etc/pki/authentication/private/authentication.key
2022-05-12 15:42:01,520 | ini_setup | INFO     | [security]public_cert=
2022-05-12 15:42:01,520 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:42:01,520 | ini_setup | INFO     | [storage_lock]url=mongodb://127.0.0.1:27017/mediakindMongolock
2022-05-12 15:42:01,520 | ini_setup | INFO     | return code 0
2022-05-12 15:42:01,520 | ini_setup | INFO     | ---
2022-05-12 15:51:39,950 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 15:51:39,950 | ini_setup | INFO     | [backup]copy_name=envivioClusterCopy
2022-05-12 15:51:39,950 | ini_setup | INFO     | [backup]directory=/var/opt/ericsson/unified-ui/dumps
2022-05-12 15:51:39,950 | ini_setup | INFO     | [backup]excludes=module,job,django_session,server_info,server_status,notification_message_count
2022-05-12 15:51:39,951 | ini_setup | INFO     | [backup]host=127.0.0.1
2022-05-12 15:51:39,951 | ini_setup | INFO     | [backup]max_db_backups=30
2022-05-12 15:51:39,951 | ini_setup | INFO     | [backup]name=envivioCluster
2022-05-12 15:51:39,951 | ini_setup | INFO     | [backup]port=27017
2022-05-12 15:51:39,951 | ini_setup | INFO     | [backup]timeout=50
2022-05-12 15:51:39,951 | ini_setup | INFO     | [celery]worker_concurrency=2
2022-05-12 15:51:39,951 | ini_setup | INFO     | [comms]interface_discovery_addr=127.0.0.1
2022-05-12 15:51:39,951 | ini_setup | INFO     | [comms]interface_discovery_port=8200
2022-05-12 15:51:39,951 | ini_setup | INFO     | [comms]timeout=10
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]dynamic_tag=dynamic
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]enabled=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]launch_control_addr=localhost
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]launch_control_port=8011
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]mdt_cluster_url=cluster_url
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]mdt_embedded=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [demo]mdt_profile_url=mdt-url
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]alarm_sounds=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]applications_page=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]automation=True
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]backup_restore=True
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]clusters_page=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]external_links=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]failover=True
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]mass_configuration=False
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]router_configuration=True
2022-05-12 15:51:39,951 | ini_setup | INFO     | [features]servers_page=True
2022-05-12 15:51:39,952 | ini_setup | INFO     | [features]service_import=True
2022-05-12 15:51:39,952 | ini_setup | INFO     | [features]templates=True
2022-05-12 15:51:39,952 | ini_setup | INFO     | [features]user_management=True
2022-05-12 15:51:39,952 | ini_setup | INFO     | [general]failover_job_timeout_minutes=5
2022-05-12 15:51:39,952 | ini_setup | INFO     | [general]history_cleanup_depth=7
2022-05-12 15:51:39,952 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]bind_dn=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]bind_pwd=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]ca_certificate_file=/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]cipher_suite=kEECDH+aECDSA+AES:kEECDH+AES+aRSA:kEDH+aRSA+AES:-SSLv2:-SSLv3:-TLSv1:-TLSv1.1
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]default_group=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]firstname_field=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]group_search=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]group_type=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]lastname_field=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]required_group=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]search_dn=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]server_uri=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]start_tls=False
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap]username_field=
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap_group_mappings]group_separator=>>>
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap_group_mappings]map1=Admin>>>Admin
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap_group_mappings]map2=Configuration>>>Configuration
2022-05-12 15:51:39,952 | ini_setup | INFO     | [ldap_group_mappings]map3=Monitoring>>>Monitoring
2022-05-12 15:51:39,952 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 15:51:39,952 | ini_setup | INFO     | [redundancy]https_port=8443
2022-05-12 15:51:39,952 | ini_setup | INFO     | [redundancy]ip_controller_1=192.168.21.52
2022-05-12 15:51:39,953 | ini_setup | INFO     | [redundancy]ip_controller_2=
2022-05-12 15:51:39,953 | ini_setup | INFO     | [redundancy]vip=
2022-05-12 15:51:39,953 | ini_setup | INFO     | [redundancy]viplicensing=
2022-05-12 15:51:39,953 | ini_setup | INFO     | [security]private_key=/etc/pki/authentication/private/authentication.key
2022-05-12 15:51:39,953 | ini_setup | INFO     | [security]public_cert=
2022-05-12 15:51:39,953 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:51:39,953 | ini_setup | INFO     | [storage_lock]url=mongodb://127.0.0.1:27017/mediakindMongolock
2022-05-12 15:51:39,953 | ini_setup | INFO     | return code 0
2022-05-12 15:51:39,953 | ini_setup | INFO     | ---
2022-05-12 16:04:45,179 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]copy_name=envivioClusterCopy
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]directory=/var/opt/ericsson/unified-ui/dumps
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]excludes=module,job,django_session,server_info,server_status,notification_message_count
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]host=127.0.0.1
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]max_db_backups=30
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]name=envivioCluster
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]port=27017
2022-05-12 16:04:45,179 | ini_setup | INFO     | [backup]timeout=50
2022-05-12 16:04:45,179 | ini_setup | INFO     | [celery]worker_concurrency=2
2022-05-12 16:04:45,179 | ini_setup | INFO     | [comms]interface_discovery_addr=127.0.0.1
2022-05-12 16:04:45,179 | ini_setup | INFO     | [comms]interface_discovery_port=8200
2022-05-12 16:04:45,179 | ini_setup | INFO     | [comms]timeout=10
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]dynamic_tag=dynamic
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]enabled=False
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]launch_control_addr=localhost
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]launch_control_port=8011
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]mdt_cluster_url=cluster_url
2022-05-12 16:04:45,179 | ini_setup | INFO     | [demo]mdt_embedded=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [demo]mdt_profile_url=mdt-url
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]alarm_sounds=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]applications_page=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]automation=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]backup_restore=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]clusters_page=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]external_links=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]failover=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]mass_configuration=False
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]router_configuration=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]servers_page=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]service_import=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]templates=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [features]user_management=True
2022-05-12 16:04:45,180 | ini_setup | INFO     | [general]failover_job_timeout_minutes=5
2022-05-12 16:04:45,180 | ini_setup | INFO     | [general]history_cleanup_depth=7
2022-05-12 16:04:45,180 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]bind_dn=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]bind_pwd=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]ca_certificate_file=/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]cipher_suite=kEECDH+aECDSA+AES:kEECDH+AES+aRSA:kEDH+aRSA+AES:-SSLv2:-SSLv3:-TLSv1:-TLSv1.1
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]default_group=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]firstname_field=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]group_search=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]group_type=
2022-05-12 16:04:45,180 | ini_setup | INFO     | [ldap]lastname_field=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap]required_group=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap]search_dn=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap]server_uri=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap]start_tls=False
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap]username_field=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap_group_mappings]group_separator=>>>
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap_group_mappings]map1=Admin>>>Admin
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap_group_mappings]map2=Configuration>>>Configuration
2022-05-12 16:04:45,181 | ini_setup | INFO     | [ldap_group_mappings]map3=Monitoring>>>Monitoring
2022-05-12 16:04:45,181 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 16:04:45,181 | ini_setup | INFO     | [redundancy]https_port=8443
2022-05-12 16:04:45,181 | ini_setup | INFO     | [redundancy]ip_controller_1=192.168.21.52
2022-05-12 16:04:45,181 | ini_setup | INFO     | [redundancy]ip_controller_2=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [redundancy]vip=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [redundancy]viplicensing=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [security]private_key=/etc/pki/authentication/private/authentication.key
2022-05-12 16:04:45,181 | ini_setup | INFO     | [security]public_cert=
2022-05-12 16:04:45,181 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:45,181 | ini_setup | INFO     | [storage_lock]url=mongodb://127.0.0.1:27017/mediakindMongolock
2022-05-12 16:04:45,182 | ini_setup | INFO     | return code 0
2022-05-12 16:04:45,182 | ini_setup | INFO     | ---
2022-05-12 16:07:38,302 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]copy_name=envivioClusterCopy
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]directory=/var/opt/ericsson/unified-ui/dumps
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]excludes=module,job,django_session,server_info,server_status,notification_message_count
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]host=127.0.0.1
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]max_db_backups=30
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]name=envivioCluster
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]port=27017
2022-05-12 16:07:38,303 | ini_setup | INFO     | [backup]timeout=50
2022-05-12 16:07:38,303 | ini_setup | INFO     | [celery]worker_concurrency=2
2022-05-12 16:07:38,303 | ini_setup | INFO     | [comms]interface_discovery_addr=127.0.0.1
2022-05-12 16:07:38,303 | ini_setup | INFO     | [comms]interface_discovery_port=8200
2022-05-12 16:07:38,303 | ini_setup | INFO     | [comms]timeout=10
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]dynamic_tag=dynamic
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]enabled=False
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]launch_control_addr=localhost
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]launch_control_port=8011
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]mdt_cluster_url=cluster_url
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]mdt_embedded=False
2022-05-12 16:07:38,303 | ini_setup | INFO     | [demo]mdt_profile_url=mdt-url
2022-05-12 16:07:38,303 | ini_setup | INFO     | [features]alarm_sounds=False
2022-05-12 16:07:38,303 | ini_setup | INFO     | [features]applications_page=False
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]automation=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]backup_restore=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]clusters_page=False
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]external_links=False
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]failover=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]mass_configuration=False
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]router_configuration=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]servers_page=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]service_import=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]templates=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [features]user_management=True
2022-05-12 16:07:38,304 | ini_setup | INFO     | [general]failover_job_timeout_minutes=5
2022-05-12 16:07:38,304 | ini_setup | INFO     | [general]history_cleanup_depth=7
2022-05-12 16:07:38,304 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]bind_dn=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]bind_pwd=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]ca_certificate_file=/etc/pki/ca-trust/extracted/pem/tls-ca-bundle.pem
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]cipher_suite=kEECDH+aECDSA+AES:kEECDH+AES+aRSA:kEDH+aRSA+AES:-SSLv2:-SSLv3:-TLSv1:-TLSv1.1
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]default_group=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]firstname_field=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]group_search=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]group_type=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]lastname_field=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]required_group=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]search_dn=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]server_uri=
2022-05-12 16:07:38,304 | ini_setup | INFO     | [ldap]start_tls=False
2022-05-12 16:07:38,305 | ini_setup | INFO     | [ldap]username_field=
2022-05-12 16:07:38,305 | ini_setup | INFO     | [ldap_group_mappings]group_separator=>>>
2022-05-12 16:07:38,305 | ini_setup | INFO     | [ldap_group_mappings]map1=Admin>>>Admin
2022-05-12 16:07:38,305 | ini_setup | INFO     | [ldap_group_mappings]map2=Configuration>>>Configuration
